/var/spool/slurm/slurmd/job775448/slurm_script: line 19: ./venv/bin/activate: No such file or directory
/home/sep4013/.conda/envs/lilac2/lib/python3.13/site-packages/torchio/data/image.py:253: UserWarning: Using TorchIO images without a torchio.SubjectsLoader in PyTorch >= 2.3 might have unexpected consequences, e.g., the collated batches will be instances of torchio.Subject with 5D images. Replace your PyTorch DataLoader with a torchio.SubjectsLoader so that the collated batch becomes a dictionary, as expected. See https://github.com/TorchIO-project/torchio/issues/1179 for more context about this issue.
  warnings.warn(message, stacklevel=1)
 ----------------- Run Setup Summary -----------------
JOB NAME: lilac_rt_order_50
TASK: temporal_ordering
Target Attribute: timepoint
BACKBONE: resnet18_3D
RUN MODE: train
Num of GPUs: 1
Num of Model Parameter: 33203776
 ----------------- Training initiated -----------------
lr_scheduler.StepLR is set:  [20.0, 0.5]

[Epoch 0/100] [Batch 188/1393] [ loss: 0.544054 ] ETA: 1 day, 20:08:46.693329
[Epoch 0/100] [Batch 189/1393] [ loss: 0.647840 ] ETA: 1 day, 20:08:19.183408
[Epoch 0/100] [Batch 190/1393] [ loss: 0.513933 ] ETA: 1 day, 20:28:24.369771
[Epoch 0/100] [Batch 191/1393] [ loss: 0.896856 ] ETA: 1 day, 22:17:41.762661
[Epoch 0/100] [Batch 192/1393] [ loss: 0.507961 ] ETA: 1 day, 20:49:47.778441
[Epoch 0/100] [Batch 193/1393] [ loss: 0.718613 ] ETA: 1 day, 23:43:12.487210
[Epoch 0/100] [Batch 194/1393] [ loss: 0.633170 ] ETA: 1 day, 18:30:39.404567
[Epoch 0/100] [Batch 195/1393] [ loss: 0.529304 ] ETA: 1 day, 20:15:25.301824
[Epoch 0/100] [Batch 196/1393] [ loss: 0.915695 ] ETA: 2 days, 0:45:38.779541
[Epoch 0/100] [Batch 197/1393] [ loss: 0.669756 ] ETA: 1 day, 21:34:59.562726
[Epoch 0/100] [Batch 198/1393] [ loss: 0.683470 ] ETA: 1 day, 18:14:56.780172
[Epoch 0/100] [Batch 199/1393] [ loss: 0.572603 ] ETA: 1 day, 21:27:37.577862
[Epoch 0/100] [Batch 200/1393] [ loss: 0.546837 ] ETA: 1 day, 20:29:28.972015
[Epoch 0/100] [Batch 201/1393] [ loss: 0.642529 ] ETA: 1 day, 23:32:29.444477
[Epoch 0/100] [Batch 202/1393] [ loss: 0.704201 ] ETA: 1 day, 20:02:28.088983
[Epoch 0/100] [Batch 203/1393] [ loss: 0.588219 ] ETA: 1 day, 23:24:15.636060
[Epoch 0/100] [Batch 204/1393] [ loss: 0.435210 ] ETA: 2 days, 0:17:54.642830
[Epoch 0/100] [Batch 205/1393] [ loss: 0.789167 ] ETA: 1 day, 19:54:41.583703
[Epoch 0/100] [Batch 206/1393] [ loss: 0.539735 ] ETA: 1 day, 22:00:58.630496
[Epoch 0/100] [Batch 207/1393] [ loss: 0.891002 ] ETA: 1 day, 20:14:43.966424
[Epoch 0/100] [Batch 208/1393] [ loss: 0.845024 ] ETA: 1 day, 22:34:30.548678
[Epoch 0/100] [Batch 209/1393] [ loss: 0.840391 ] ETA: 1 day, 21:28:35.452430
[Epoch 0/100] [Batch 210/1393] [ loss: 0.703510 ] ETA: 1 day, 21:22:21.472232
[Epoch 0/100] [Batch 211/1393] [ loss: 0.861290 ] ETA: 1 day, 21:51:40.107142
[Epoch 0/100] [Batch 212/1393] [ loss: 0.621330 ] ETA: 1 day, 21:00:24.913452
[Epoch 0/100] [Batch 213/1393] [ loss: 0.655136 ] ETA: 1 day, 20:52:14.193808
[Epoch 0/100] [Batch 214/1393] [ loss: 0.753939 ] ETA: 1 day, 19:38:08.008198
[Epoch 0/100] [Batch 215/1393] [ loss: 0.486931 ] ETA: 1 day, 23:12:10.550355
[Epoch 0/100] [Batch 216/1393] [ loss: 0.653187 ] ETA: 1 day, 20:04:30.343115
[Epoch 0/100] [Batch 217/1393] [ loss: 0.608186 ] ETA: 1 day, 19:30:22.469386
[Epoch 0/100] [Batch 218/1393] [ loss: 0.600461 ] ETA: 2 days, 6:21:17.108710
[Epoch 0/100] [Batch 219/1393] [ loss: 0.685118 ] ETA: 1 day, 20:20:38.427510
[Epoch 0/100] [Batch 220/1393] [ loss: 0.567829 ] ETA: 1 day, 17:39:51.650047
[Epoch 0/100] [Batch 221/1393] [ loss: 0.674973 ] ETA: 1 day, 22:11:50.810014
[Epoch 0/100] [Batch 222/1393] [ loss: 0.438199 ] ETA: 1 day, 20:03:55.744274
[Epoch 0/100] [Batch 223/1393] [ loss: 0.715246 ] ETA: 1 day, 21:07:42.359274
[Epoch 0/100] [Batch 224/1393] [ loss: 0.571244 ] ETA: 1 day, 20:40:26.652615
[Epoch 0/100] [Batch 225/1393] [ loss: 0.469057 ] ETA: 1 day, 22:08:37.257953
[Epoch 0/100] [Batch 226/1393] [ loss: 0.707548 ] ETA: 1 day, 20:26:27.369996
[Epoch 0/100] [Batch 227/1393] [ loss: 0.708898 ] ETA: 1 day, 20:36:35.324494
